review_id,verified_purchase,full_text,rating
R0001,True,"Always great. Love this product. Purchased it for friends and family, especially my father likes it as he is a diabetic and the products really help his skin.",5.0
R0002,True,BURTS BEES. SO NATURAL ILOVE IT....,5.0
R0003,True,"Best hand-cream I’ve ever tried!. I absolutely loved every product! I ordered one for my daughter, and another for my Mom for Mother’s Day! Such a good price, wow! Oh course I had to get another for myself. Seems like every time I give an amazing review, the price rolls up, so get it while you can. Literally the best handcream I’ve ever tried! The size is our little, but you don’t need much. Feels wonderful- definitely recommend!",5.0
R0004,True,Five Stars. great product,5.0
R0005,True,Perfect little gift for the 20 to 30 year old .... Perfect little gift for the 20 to 30 year old women in your life. Small size fits great in purses and diaper bags. Even guys can use this kit as the scents are gender neutral.,5.0
R0006,True,Gotta have this!. What a fabulous package!,5.0
R0007,True,Very good. I really like honey skin products and this set is really good. Pomegranate lip balm is my new favorite.,5.0
R0008,True,"Good Product, convenient shipping. Burt's Bees products are a longtime favorite. This convenient package gives me a nice supply of the products, which sadly are a bit hard to find in my small town. I am glad to be able to get them so conveniently.",5.0
R0009,True,Five Stars. nice,5.0
R0010,True,Four Stars. purchased as a gift,4.0
R0011,True,Best product ever. Best product ever !,5.0
R0012,True,"Small samples for easy travel. Not as moisturizing for my skin. I love the small sample size items since I can easily put them in my pocket and take wherever I want. However, it is not a lot for the price you pay for it. I do love Burts bees products but they don't work as well at moisturizing my hands as other products do which is why I took off a star. I have to apply the hand salve and the hand cream religiously to make any kind of difference in my dry hands and it's just not worth the effort of applying it 7+ times a day when I can apply other lotions or creams twice and have a similar effect. The Chapstick are my favorite though, I always have one on me. I have not tried the foot cream yet since I can barely reach my feet being almost 9 months pregnant but I don't have very high hopes with how the other creams work with the skin.",4.0
R0013,True,Four Stars. i ALWAYS LOVE Burt's bees products.,4.0
R0014,True,Five Stars. Works great....,5.0
R0015,True,Five Stars. Great products. Gave as a Christmas gift and the person who got this loves it,5.0
R0016,True,Gifts for Teacher. I purchased several of these for school gifts for teachers. I love the products so why not share the love! Something different to give as a gift instead of the same old coffee mugs that say #1 teacher!,5.0
