review_id,att_original,att_retest,n_beliefs_original,n_beliefs_retest,orig_e_i,new_e_i,orig_b_i,new_b_i
R0123,-1.6,-2.7,2,3,"[-1, -1]","[-1, -1, -1]","[0.8, 0.8]","[0.9, 0.9, 0.9]"
R0628,1.6,2.5,2,3,"[1, 1]","[1, 1, 1]","[0.8, 0.8]","[0.9, 0.9, 0.7]"
R0203,0.8,1.7000000000000002,2,2,"[1, 1]","[1, 1]",[0.8],"[0.9, 0.8]"
R0964,0.4,0.9,1,1,[1],[1],[0.4],[0.9]
R0625,2.4,2.7,3,3,"[1, 1, 1]","[1, 1, 1]","[0.8, 0.8, 0.8]","[0.9, 0.9, 0.9]"
R0251,2.4,2.7,3,3,"[1, 1, 1]","[1, 1, 1]","[0.8, 0.8, 0.8]","[0.9, 0.9, 0.9]"
R0092,2.4,1.6,3,2,"[1, 1, 1]","[1, 1]","[0.8, 0.8, 0.8]","[0.7, 0.9]"
R0897,2.8,2.8,3,3,"[1, 1, 1]","[1, 1, 1]","[0.9, 0.9, 1.0]","[1.0, 0.9, 0.9]"
R1266,1.4,1.5,5,5,"[1, 1, -1, 1, 1]","[1, 0, -1, 1, 1]","[0.7, 0.7, 0.7, 0.7]","[0.8, 0.8, 0.7, 0.6, 0.8]"
R1326,-1.7,-1.0,2,2,"[-1, -1]","[-1, -1]","[0.9, 0.8]","[0.6, 0.4]"
R0787,2.6,2.8,3,3,"[1, 1, 1]","[1, 1, 1]","[0.9, 0.9, 0.8]","[1.0, 0.9, 0.9]"
R0805,1.2,0.8000000000000002,3,3,"[1, 1, -1]","[1, 1, -1]","[0.8, 0.8, 0.4]","[0.9, 0.8, 0.9]"
R0122,0.9,1.6,1,2,[1],"[1, 1]",[0.9],"[0.7, 0.9]"
R0372,1.5,2.5,2,3,"[1, 1]","[1, 1, 1]","[0.7, 0.8]","[0.9, 0.8, 0.8]"
R0317,0.9,0.9,1,1,[1],[1],[0.9],[0.9]
R0798,0.8,1.7000000000000002,1,2,[1],"[1, 1]",[0.8],"[0.9, 0.8]"
R1323,1.3,1.2000000000000002,3,3,"[1, 1, -1]","[1, 1, -1]","[0.8, 0.9, 0.4]","[0.9, 0.9, 0.6]"
R0791,1.8,1.8,3,2,"[1, 1, 1]","[1, 1]","[0.7, 0.7, 0.4]","[0.9, 0.9]"
R0575,2.6,1.9,3,2,"[1, 1, 1]","[1, 1]","[0.9, 0.8, 0.9]","[1.0, 0.9]"
R0382,0.8,1.8,1,2,[1],"[1, 1]",[0.8],"[0.9, 0.9]"
