review_id,ATT,BI,rating,review_length,helpful_vote,review_year,verified_purchase,user_id
R0001,1.8,2.0,5.0,158,0,2013,1,AGXFEGMNVCSTSYYA5UWXDV7AFSXA
R0003,2.2,3.0,5.0,433,7,2020,1,AER7BPYAMW5CAICYIJX7QW64MBIA
R0017,0.3,2.0,4.0,384,0,2015,1,AGNZSBJOZAFR5E43FYDGSYEJ76FQ
R0023,0.8,3.0,5.0,43,0,2019,1,AHU4UEP36SVDJ7U6RJ5QKXX6763Q
R0025,1.4,1.0,5.0,197,2,2014,1,AHYZGNWHR6YDR66HPXEDQJDQKZFQ
R0027,1.0,1.0,5.0,101,0,2015,1,AH73OBWS2R73OQIDIUCJEYZCLNYA
R0039,1.2,2.0,5.0,111,0,2013,1,AGSMXM27QKQ7HFURJV2OF7ZBBRCA
R0046,2.5,3.0,5.0,211,0,2014,1,AFK6Z4AW7CDH3IHSRAABCGTQYH6Q
R0050,1.9,1.0,5.0,74,0,2016,1,AHXOPDS4TJ6M2DDPCAXFQOWCOIAA
R0058,0.8,1.0,5.0,97,0,2023,1,AGP5B4QE5JJVM2RIUL6ELV5J5GGQ
R0062,-2.2,0.0,3.0,188,0,2020,1,AEUQTX4ECDBVH2KNZQWBNXTFHVJA
R0068,3.0,3.0,5.0,672,0,2012,0,AFFLBILCIUV2TKITUZWMNYWGOXOQ
R0073,1.8,3.0,5.0,52,0,2020,0,AGO5MQ5TYSMFEIAU2Z7O3FVFGUDQ
R0074,0.8,3.0,4.0,40,0,2015,1,AHQTRARII3U66LKC53UX5CL3YI6A
R0080,1.4,2.0,5.0,254,0,2016,1,AF7SHUWZHWXOG6ROPPRCJG7JASYA
R0082,0.7,1.0,3.0,542,2,2017,1,AEU2WNWZABH2EM4CRBVJRIFMF5ZQ
R0083,2.7,3.0,5.0,234,0,2019,1,AG6WH3ZRQTIPDSJIMLYZWNRAUZGA
R0088,2.6,3.0,5.0,385,0,2013,1,AHHUJJGLNWFSHITIN4RRTJINSG2A
R0094,1.7,3.0,4.0,62,0,2015,1,AHREA6UH2LSZKR4F5YEVA7JBLQBA
R0097,4.1,2.0,5.0,1377,7,2022,1,AFTTV2CEA673UFE3J7ZML27J6J3A
R0098,2.7,3.0,5.0,199,0,2017,1,AHZRTYTGY6AZF2JU4PMBLZGZX44Q
R0099,1.7,1.0,5.0,214,0,2016,1,AGQZOSGUB7YAXDTKBPKFY5342UCA
R0100,2.6,3.0,5.0,480,0,2013,1,AEMUGFBVDOXFU7QHEPBPK25EF4VA
R0117,1.6,1.0,5.0,141,4,2022,1,AEAZVXGP4QS22ZYWYVMCSOU7GKLA
R0126,2.3,3.0,5.0,288,0,2022,1,AH2OU52CNFVSHVSDFK6TJLWCMDFQ
R0129,1.9,3.0,5.0,104,0,2020,1,AEE44Y4J24EF7GDDVWD4CYUHBHYA
R0143,1.7,3.0,5.0,134,0,2015,1,AHMHI4HC35BETMUYB4LZBSJVWI7A
R0146,2.8,3.0,5.0,237,1,2021,1,AGURYJSTY2M4JG4VNM2WNHYDIXQQ
R0147,0.4,3.0,3.0,18,0,2022,1,AEK5VXVK3QSZN2UOB36BBHCHLMBA
R0165,2.4,2.0,5.0,175,0,2013,1,AHCY546J642JK3ENUEUC5VIT7OVQ
R0167,-0.4,0.0,1.0,25,0,2015,1,AH4PJ77ZJ2RGJCRFXG7AUBML5YUA
R0168,1.6,3.0,5.0,286,1,2022,1,AGBU2VNXLBTLCAQKHHNN6TZJFTQA
R0176,1.6,2.0,5.0,192,1,2016,1,AF64HM53RZGTRGSF5HIXXYSQYHLQ
R0190,4.4,3.0,5.0,621,0,2018,1,AGO3C32QDZTXHZ2TQJKIE523HP5Q
R0191,0.7,3.0,4.0,27,0,2022,1,AGBNDAH7O4IILL4XHUB5Q7BLRX5Q
R0202,2.6,1.0,5.0,118,0,2019,1,AG2PESLNFRNYNJETM7QFQTWHSZ4Q
R0204,0.9,1.0,5.0,41,0,2020,1,AHHHC5G657UZSUPYP3EB5CZ4CILQ
R0206,-0.9,0.0,1.0,111,1,2016,1,AHUGG5OBTBD4ZLQCNVGYAVKMWRSQ
R0208,2.4,2.0,5.0,216,0,2020,1,AFJ6ME2A33XMFBEYZU6VZTI6N6MQ
R0213,1.9,3.0,5.0,171,0,2016,1,AFRVS5BNWHOI2LGTMCVXPMPQXXDQ
R0219,-0.1,2.0,4.0,384,0,2015,0,AHDQHNMEMFQBHDV5CQWNIZASRAMA
R0221,1.6,3.0,5.0,104,0,2017,0,AFZC22FMW56GO4BEX42J3VWHDXVA
R0227,-1.8,0.0,1.0,127,0,2022,1,AGA6TKRRMQMOTBSU7E5S4ZEHV5WQ
R0229,-1.9,0.0,1.0,457,0,2021,1,AHQPFEH7KRCVIZROR5ADPJT6OYOA
R0235,0.8,1.0,5.0,53,0,2020,0,AEBDEXE4PRW6U7T32H5DXH4AEIDQ
R0239,0.9,3.0,5.0,120,0,2019,1,AHHP66ZZU77UD3X7URRYBSPF7I5Q
R0241,0.7,3.0,5.0,94,0,2017,1,AH7GCHEBMNIKYZOUVIVWXLSWDZCQ
R0245,-0.9,0.0,2.0,169,0,2020,1,AF2XUIANDVPJMP5CXG5YONGJSKCA
R0246,-2.3,0.0,1.0,307,12,2019,1,AERIRPWDME3DCZJDVZRSOJQRUNZQ
R0248,1.8,3.0,5.0,343,0,2020,1,AHC6FS44HG5M7AW3X4MAL2W3LYJQ
R0249,1.5,3.0,5.0,167,0,2022,1,AFWSROLSIQLPNYG5REI7QIN2HAUA
R0262,2.2,3.0,5.0,401,0,2016,1,AGDVM2RPFL4JQEJULVUJP2F77IIA
R0263,-3.3,0.0,2.0,502,1,2020,1,AEQSEEHJ2CKCWD4I43F6P4IIZHKA
R0268,2.6,3.0,5.0,212,0,2018,1,AEJQFZQBG4EZWXNZMHZ2WKQZ5H6A
R0272,1.9,3.0,5.0,161,0,2018,1,AGBQY6SBV4MLGWSPM3OKTESO5IKQ
R0279,2.5,1.0,5.0,174,0,2016,1,AFC2NBKKHBRNIQKLIUBVNTPLAUIA
R0287,0.0,1.0,5.0,85,0,2021,1,AHNKA6B2CUS6O3F5J45GJCRJAV6Q
R0294,1.7,1.0,5.0,170,1,2016,0,AHBNLAZ5U4QAMLKRG27P3WTXIOMA
R0295,0.8,3.0,4.0,347,1,2020,1,AH5EQX5CWX5EQBF5LVJSHKKTY4VQ
R0299,3.4,2.0,5.0,1033,67,2018,1,AEHHK2Y35P7BQOPGOWA6VHPXN6UA
R0301,-1.7,0.0,1.0,119,0,2020,0,AGBDBJFD56NMVFKGPQL6DHCSENGQ
R0305,1.8,1.0,5.0,64,0,2019,1,AGO3UAE47HGPZTFPY3M6CYWIBFYQ
R0310,2.4,3.0,5.0,195,0,2019,1,AHJMFHGMCYLEAHFVJUVWXDOMPCDA
R0313,1.4,3.0,5.0,68,0,2020,1,AFBLJFGM6ULAIMRLKE3UCJW4FJ4Q
R0314,0.8,3.0,5.0,21,0,2019,1,AG6IBST6KZZZF4XF323TP5XPL2SQ
R0317,0.9,1.0,3.0,21,0,2019,1,AHOQBCKNMWE4QBII5CW4UCTF7PVQ
R0318,0.8,3.0,5.0,21,0,2019,1,AG6IBST6KZZZF4XF323TP5XPL2SQ
R0321,2.5,1.0,5.0,147,1,2022,1,AHLQDWMM5MRJIR3NLRG4AHSF4OMQ
R0322,2.4,3.0,4.0,186,0,2020,1,AG6D46E7NFWWAWBICJ6SFSLP3B5A
R0328,1.7,1.0,5.0,135,0,2021,0,AGMQW36KUWSQDJYMAASDRZCFZAKQ
R0330,2.5,3.0,5.0,247,0,2021,1,AEWSECQZGFNGGOEYJHBVAEOMY7XA
R0337,2.3,3.0,4.0,266,0,2020,0,AHYLXQ5EB7EE5OYF2OFOYK43GCKA
R0342,1.5,3.0,5.0,170,0,2020,1,AEZKDOYRCFQZN54RBLDQTYRDFULQ
R0344,2.1,3.0,5.0,285,1,2023,1,AHEI3Z56TNVSUU2573MEZASMALQA
R0349,1.6,1.0,5.0,61,0,2018,1,AHVTCW2YWGIQNK4OJ7YQ7RC3ZREA
R0352,1.7,2.0,4.0,230,0,2016,1,AH6OSD2QJVYZGU2XNPEWJPWJPJPA
R0357,1.9,3.0,5.0,275,3,2016,1,AEZS27KFLSTNSKCKZE3NCV6HGMSA
R0362,1.9,1.0,5.0,66,0,2019,1,AEKQXSC2SOPLBQHADRXVAKLDPTCQ
R0363,1.6,3.0,5.0,330,0,2021,1,AEDXUQRCCK25LUDLWEHC5FZFNJ5Q
R0370,1.7,1.0,5.0,64,0,2020,1,AE7Z4Y3XJDAFG5XIWR5ALRLQGMYA
R0380,0.9,3.0,5.0,411,1,2022,1,AEKAGWYBEXD4UOGZQMHMZH35G3SA
R0388,2.4,3.0,5.0,111,0,2016,1,AFMJOGIZ5YH4R4LSF4VSYO23KDKQ
R0404,3.5,3.0,5.0,846,0,2017,1,AF3RBMPTIT222XTIMNPTGXZYC44A
R0410,0.8,2.0,4.0,334,0,2020,1,AGL3BDTVCANPTZ3VQGBX5YTT3L7A
R0415,1.9,1.0,5.0,90,0,2021,1,AHZW55ZK5QUBQE4YH54O2IP3JY3Q
R0419,1.8,3.0,5.0,107,1,2020,1,AGITVV243KDCOZI5MO7V6CKGNALQ
R0429,0.7,1.0,4.0,57,0,2017,1,AHGJWQJQCUEYJWPCGQOACS4PP3AQ
R0430,2.5,3.0,5.0,307,0,2021,1,AHNX7JUJFGD4IETRIKJWL4RSS2HQ
R0431,-1.8,0.0,1.0,198,1,2022,1,AEUB4R3ZVUARCQGLXKMDNRODBINA
R0434,-1.9,0.0,1.0,185,1,2018,1,AFSMTUY4PUQXLUZA56IFLBJTXU7A
R0435,2.4,3.0,5.0,921,0,2022,1,AFKG6KJSS3TKFRDOZENQS3KBRGZQ
R0436,1.7,3.0,5.0,90,0,2017,1,AGVROZ2KCHDO32ZFFACWDOCWR7TA
R0437,4.2,3.0,5.0,592,2,2015,1,AGIFJT2QDO6OOIINACXMTZVIB3ZQ
R0442,-1.8,0.0,1.0,235,1,2022,0,AHMNCXGBDJMJPPFB67VTEOQMSOTQ
R0450,2.7,3.0,5.0,226,0,2018,1,AEQ6WMOTF3R5LGWNXUXFDII6QNUA
R0453,0.8,3.0,5.0,36,0,2016,1,AGDMH2HUG7PKMPA443BTMA5BDBQQ
R0460,2.5,3.0,5.0,181,0,2020,1,AFAON72XQ33TXGPD4XYMKDUBDKDA
R0463,1.6,1.0,5.0,66,0,2019,1,AF7XM5EAG7WQNEHPOFJYINWVL5IQ
R0466,1.6,3.0,4.0,53,0,2016,1,AGKYZVYWLW3UHG7ABLJB7R6RSENA
R0472,-1.6,0.0,3.0,219,0,2016,1,AFHW6QHIMC6IN5ZZ3WHFYNMS4KWQ
R0473,2.9,1.0,5.0,159,0,2019,1,AGHAP4RGRIT7VILEPM4X4M6G3ZWA
R0475,2.3,2.0,5.0,103,0,2021,0,AHRFX2X7OUPBRNEUKNA37DIA4SEQ
R0478,0.4,3.0,5.0,39,0,2019,1,AHWQPG4MYSIEDZT63ZDACAAKIFNQ
R0479,0.9,3.0,5.0,26,0,2015,1,AGSG4LWZFXFCHPRIV3JUAA6PK66A
R0480,-4.0,0.0,1.0,543,1,2015,1,AHBYH2SANBFQVMDXGTYZEQOCVQ5A
R0485,2.4,1.0,5.0,186,0,2021,0,AGNMATHLNEOBYZHIOOTGOFMM24AA
R0490,0.7,3.0,5.0,27,0,2016,1,AGKYD533Y3HPIJQM5BXR3WYDK5RQ
R0493,1.6,2.0,5.0,129,1,2019,1,AH5BSMRPGAOWTW7TLC5M3W3YE6DA
R0498,0.8,3.0,5.0,42,0,2019,1,AGM5O3RXWS6BCJDO5LQPKD6AX4UQ
R0504,2.5,1.0,5.0,152,0,2022,1,AHZLRPY4MR3NKASIAGGGMJK7AH3A
R0505,-1.2,2.0,5.0,183,0,2022,1,AGQLHCV4OFTD2SUTVVW32EW5MXIQ
R0515,2.4,1.0,5.0,139,0,2018,1,AGBINIMU4VKIRBPGNESWPYIKKYJQ
R0516,-1.1,0.0,2.0,252,0,2015,1,AEWQFV25BVWWVMLWI6UQ5ZI572LA
R0526,1.7,1.0,5.0,228,0,2015,1,AEQNQBCDB2Q2IAUN3T7JDL4MPAXQ
R0528,2.4,1.0,5.0,78,1,2021,1,AFWNRQWAZMYHCF5FCUUM7MMDPJGA
R0531,1.6,1.0,5.0,116,0,2021,1,AFW6JMJVAF5VXFGACJO7JIO3FOCA
R0539,0.0,1.0,4.0,43,0,2016,0,AEPA3B5EK3I4OV62K2N2NJXKI5PA
R0541,1.7,1.0,5.0,172,0,2018,1,AGX2A6TSAJQY2UMSGE7T6S6VEYUA
R0543,0.9,1.0,5.0,34,1,2020,1,AH5X64XA54UGPHWFIGWGSCCZBSHQ
R0548,2.7,1.0,5.0,423,7,2022,1,AE47DRKQJXOFGYNEQB5EWRXY3BMA
R0551,2.7,1.0,5.0,274,0,2018,1,AGPCL6ERPJZ3N5DID3Z7RLKPVLFQ
R0556,1.5,1.0,5.0,262,0,2018,1,AGUV5D7UNP7UMETN3ADA4S63CAFA
R0558,1.8,3.0,5.0,96,0,2023,1,AGCLR2KQTZ4YVKTOSYII2NQ5ZTTA
R0562,1.7,2.0,4.0,255,0,2016,1,AHSML6HG5RSS7XQPR2FDVOYO2L5Q
R0564,-0.9,0.0,2.0,31,0,2021,1,AHHXSOOPYSWCQWKM5CFGPG6ROX5Q
R0571,2.4,1.0,5.0,72,0,2020,1,AF6OHA6YO4C4Q2JNCSNDNOKMBM5A
R0573,1.0,1.0,5.0,24,0,2015,1,AGQZ4I6FEJBK6HR6C3KNABEHRVIQ
R0578,1.8,1.0,5.0,82,0,2021,1,AEQ3VJ2PVGW27IW6G6ZI54S5BTVA
R0591,1.0,3.0,4.0,320,0,2020,1,AFXYC3HYZKXONYB5VJKHH32KXA5A
R0595,1.6,1.0,5.0,63,0,2018,1,AG2YTVBL2TKR4D4B7BEOUSBNGA6A
R0599,2.0,3.0,5.0,117,0,2017,0,AH6K462H2EHUUJFGFYIGNXS5DMSA
R0601,0.8,1.0,5.0,29,0,2015,0,AHKMPTYVQIK7AQFJFWQS7K55S5ZQ
R0612,0.8,1.0,5.0,56,0,2022,1,AH7BTEAOB7UCFBJMRKO4MY6KBCYA
